ano,id_eleicao,tipo_eleicao,data_eleicao,sigla_uf,id_municipio,id_municipio_tse,cargo,vagas
2024,619,eleicao ordinaria,2024-10-06,AC,1200104,1058,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200104,1058,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200138,1007,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200138,1007,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200179,1015,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200179,1015,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200203,1074,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200203,1074,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200252,1112,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200252,1112,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200302,1139,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200302,1139,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200328,1104,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200328,1104,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200336,1090,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200336,1090,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200344,1554,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200344,1554,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200351,1040,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200351,1040,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200385,1511,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200385,1511,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200393,1066,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200393,1066,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200401,1392,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200401,1392,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200427,1082,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200427,1082,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200435,1031,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200435,1031,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200450,1538,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200450,1538,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200500,1457,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200500,1457,vice-prefeito,1
